Name,US release Date,mcu_phase,Director,Producer,movie_duration,IMDB rating,metascore,tomato_meter,audience_score,Oscar Nomination,Oscar won,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,IMDB rating %,metascore %,tomato_meter %,audience_score %,Andrew Garfield,Angela Bassett,Angelina Jolie,Anthony Hopkins,Awkwafina,Barry Keoghan,Ben Kingsley,Ben Mendelsohn,Benedict Cumberbatch,Benedict Wong,Bradely Cooper,Bradley Cooper,Brian Tyree Henry,Brie Larson,Cate Blanchett,Chadwick Boseman,Chiswetel Ejiofor,Chris Evans,Chris Hemsworth,Chris Patt,Chris Pratt,Christian Bale,Chukwudi Iwuji,Corey Stall,Danai Gurira,Dave Bautista,David Harbour,Edward Norton,Elizabeth Olsen,Evangeline Lilly,Florence Pugh,Gemma Chan,Guy Pearce,Gweneth Paltrow,Hugo Weaving,Iman Vellani,Jake Gyllenhaal,Jeremy Renner,Jon Favreau,Jonathan Majors,Josh Brolin,Kathryn Newton,Kit Harington,Kumail Nanjiani,Lauren Ridloff,Letitia Wright,Lia McHugh,Liv Tyler,Lupita Nyong'o,Ma Dong-seok,Mark Ruffalo,Martin Freeman,Michael B. Jordan,Michael Douglas,Michael Keaton,Micheal Pena,Michelle Pfeiffer,Mickey Rourke,Natalie Portman,Paul Rudd,Pom Klementieff,Racheal McAdams,Rachel Weisz,Richard Madden,Robert Downey Jr.,Salma Hayek,Samuel L. Jackson,Scarlett Johansson,Sebastian Stan,Simu Liu,Tenoch Huerta,Terrence Howard,Tessa Thompson,Teyonah Parris,Tim Roth,Toby Maguire,Tom Hiddleston,Tom Holland,Tony Leung Chiu-wai,Vin Diesel,Winston Duke,Xochitl Gomez,Zendaya,Zoe Saldana,Action,Adventure,Comedy,Drama,Fantasy,Horror,Romance,Sci-Fi,Time Since Last Release,year,inflation_adjusted_production_budget,inflation_adjusted_worldwide_box_office,inflation_adjusted_domestic_box_office,inflation_adjusted_opening_weekend
Iron Man,2008-05-02,1,Jon Favreau,Avi Arad and Kevin Feige,126,7.9,79.0,94,91,2.0,0.0,186000000,102118668,318604126,585171547,0.79,0.79,0.94,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2008,327464788.73239434,1030231596.8309858,560922757.0422535,179786387.32394364
The incredible Hulk,2008-06-13,1,Louis Leterrier,"Avi Arad ,Gale Ann Hurd and Kevin Feige",112,6.6,61.0,67,70,0.0,0.0,137500000,55414050,134806913,265573859,0.6599999999999999,0.61,0.67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,42,2008,242077464.78873238,467559610.9154929,237336114.4366197,97559947.18309858
Iron Man 2,2010-05-07,1,Jon Favreau,Kevin Feige,124,7.0,57.0,72,71,1.0,0.0,170000000,128122480,312433331,621156389,0.7,0.57,0.72,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,693,2010,290102389.07849824,1059993837.8839589,533162680.88737196,218639044.36860067
Thor,2011-05-06,1,Kenneth Branagh,Kevin Feige,113,7.0,57.0,77,76,0.0,0.0,150000000,65723338,181030624,449326618,0.7,0.57,0.77,0.76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,364,2011,238473767.8855326,714350744.0381558,287807033.3863275,104488613.67249602
Captain America: The first Avenger,2011-07-22,1,Joe Jhonston,Kevin Feige,124,6.9,66.0,79,75,0.0,0.0,140000000,65058524,176654505,370569776,0.6900000000000001,0.66,0.79,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,77,2011,222575516.69316375,589141138.3147854,280849769.4753577,103431675.67567568
Marvel's the Avengers,2012-05-04,1,Joss Whedon,Kevin Feige,143,8.0,69.0,91,91,1.0,0.0,225000000,207438708,623357910,1515100211,0.8,0.69,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,287,2012,342465753.4246575,2306088601.217656,948794383.5616438,315736237.44292235
Iron Man 3,2013-05-03,2,Shane Black,Kevin Feige,130,7.1,62.0,79,78,1.0,0.0,200000000,174144585,408992272,1215392272,0.71,0.62,0.79,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,364,2013,295857988.1656805,1797917562.1301777,605018153.8461539,257610332.84023672
Thor: The dark world,2013-11-08,2,Alan Taylor,Kevin Feige,111,6.8,54.0,66,75,0.0,0.0,150000000,85737841,206362140,644602516,0.6799999999999999,0.54,0.66,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,189,2013,221893491.12426037,953554017.7514794,305269437.8698225,126831125.73964499
Captain America : The Winter Soldier,2014-04-04,2,Anthony and Joe Russo,Kevin Feige,135,7.7,70.0,90,92,1.0,0.0,170000000,95023721,259746958,714401889,0.77,0.7,0.9,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,147,2014,243902439.02439022,1024966842.1807747,372664215.2080344,136332454.80631277
Guardians Of the Galaxy,2014-08-01,2,James Gunn,Kevin Feige,121,8.0,76.0,92,92,2.0,0.0,170000000,94320883,333714112,770882395,0.8,0.76,0.92,0.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,119,2014,243902439.02439022,1106000566.7144907,478786387.37446195,135324078.90961263
